Date,Client,Revenue,Expenses,AccountsReceivable
2024-01-31,Alpha Corp,15270,3860,2294
2024-01-31,Beta Ltd,13191,8734,3169
2024-01-31,Gamma LLC,8466,7426,2482
2024-01-31,Delta Inc,19636,11322,2685
2024-01-31,Epsilon Group,8769,9949,3433
2024-02-29,Alpha Corp,13311,8051,3324
2024-02-29,Beta Ltd,9184,7555,4385
2024-02-29,Gamma LLC,14396,11666,2082
2024-02-29,Delta Inc,10558,10849,3047
2024-02-29,Epsilon Group,10747,3189,4005
2024-03-31,Alpha Corp,10734,6005,1562
2024-03-31,Beta Ltd,9899,10734,2267
2024-03-31,Gamma LLC,9528,6556,4890
2024-03-31,Delta Inc,16838,8393,3435
2024-03-31,Epsilon Group,16792,11433,3041
2024-04-30,Alpha Corp,19016,10513,3612
2024-04-30,Beta Ltd,15041,9235,2390
2024-04-30,Gamma LLC,15099,3775,1034
2024-04-30,Delta Inc,11152,4585,4943
2024-04-30,Epsilon Group,15555,6073,2021
2024-05-31,Alpha Corp,19653,6843,4893
2024-05-31,Beta Ltd,17692,9873,2579
2024-05-31,Gamma LLC,8161,7297,2981
2024-05-31,Delta Inc,8995,10629,4798
2024-05-31,Epsilon Group,17467,4016,4773
2024-06-30,Alpha Corp,14439,10892,3767
2024-06-30,Beta Ltd,15916,11529,1878
2024-06-30,Gamma LLC,17268,7887,4993
2024-06-30,Delta Inc,12859,9331,1379
2024-06-30,Epsilon Group,16684,10208,2180
2024-07-31,Alpha Corp,10062,3064,4928
2024-07-31,Beta Ltd,16006,5568,2367
2024-07-31,Gamma LLC,10027,5695,2495
2024-07-31,Delta Inc,13258,8618,3640
2024-07-31,Epsilon Group,8391,8892,4561
2024-08-31,Alpha Corp,18470,9184,4099
2024-08-31,Beta Ltd,14278,11392,2863
2024-08-31,Gamma LLC,11104,10215,1502
2024-08-31,Delta Inc,10454,11996,3146
2024-08-31,Epsilon Group,10731,11154,2570
2024-09-30,Alpha Corp,13056,11110,2485
2024-09-30,Beta Ltd,18882,6840,2028
2024-09-30,Gamma LLC,15385,3502,3814
2024-09-30,Delta Inc,17062,9938,1392
2024-09-30,Epsilon Group,8206,8134,2881
2024-10-31,Alpha Corp,15721,10035,2484
2024-10-31,Beta Ltd,15858,3863,3790
2024-10-31,Gamma LLC,15408,11755,2020
2024-10-31,Delta Inc,14019,4757,3532
2024-10-31,Epsilon Group,15574,9374,3796
2024-11-30,Alpha Corp,9678,6242,1540
2024-11-30,Beta Ltd,9059,9668,2183
2024-11-30,Gamma LLC,17914,6157,2819
2024-11-30,Delta Inc,18817,5693,1795
2024-11-30,Epsilon Group,11627,8450,2663
2024-12-31,Alpha Corp,17721,8592,4302
2024-12-31,Beta Ltd,18429,10392,2408
2024-12-31,Gamma LLC,9306,9776,3675
2024-12-31,Delta Inc,13864,10526,1709
2024-12-31,Epsilon Group,13575,8530,1648
2025-01-31,Alpha Corp,12413,6748,4296
2025-01-31,Beta Ltd,8663,4998,4898
2025-01-31,Gamma LLC,19637,4495,4304
2025-01-31,Delta Inc,11763,8232,2853
2025-01-31,Epsilon Group,14585,4291,4581
2025-02-28,Alpha Corp,19649,10554,4184
2025-02-28,Beta Ltd,9636,6696,3999
2025-02-28,Gamma LLC,19344,3698,3160
2025-02-28,Delta Inc,12737,3854,2759
2025-02-28,Epsilon Group,15392,9528,4474
2025-03-31,Alpha Corp,13249,8172,2707
2025-03-31,Beta Ltd,18969,8791,2733
2025-03-31,Gamma LLC,13535,7931,4510
2025-03-31,Delta Inc,8202,7218,1400
2025-03-31,Epsilon Group,16958,7389,3327
2025-04-30,Alpha Corp,16004,5931,4681
2025-04-30,Beta Ltd,8197,10125,2930
2025-04-30,Gamma LLC,19774,9287,1608
2025-04-30,Delta Inc,19464,7282,4397
2025-04-30,Epsilon Group,10511,3659,3811
2025-05-31,Alpha Corp,15098,9546,2369
2025-05-31,Beta Ltd,9986,11338,4219
2025-05-31,Gamma LLC,10911,4734,2843
2025-05-31,Delta Inc,16680,5976,2959
2025-05-31,Epsilon Group,13759,9694,3385
